NAMESPACE            NAME                                  READY   UP-TO-DATE   AVAILABLE   AGE
argocd               argocd-applicationset-controller      1/1     1            1           5h49m
argocd               argocd-dex-server                     1/1     1            1           5h49m
argocd               argocd-notifications-controller       1/1     1            1           5h49m
argocd               argocd-redis                          1/1     1            1           5h49m
argocd               argocd-repo-server                    1/1     1            1           5h49m
argocd               argocd-server                         1/1     1            1           5h49m
default              netflix                               2/2     2            2           17h
kube-system          coredns                               2/2     2            2           17h
kube-system          metrics-server                        1/1     1            1           5h57m
local-path-storage   local-path-provisioner                1/1     1            1           17h
monitoring           monitoring-grafana                    1/1     1            1           3h43m
monitoring           monitoring-kube-prometheus-operator   1/1     1            1           3h43m
monitoring           monitoring-kube-state-metrics         1/1     1            1           3h43m
