NAMESPACE     NAME                                                 TYPE        CLUSTER-IP      EXTERNAL-IP   PORT(S)                        AGE     SELECTOR
argocd        argocd-applicationset-controller                     ClusterIP   10.96.162.14    <none>        7000/TCP,8080/TCP              5h49m   app.kubernetes.io/name=argocd-applicationset-controller
argocd        argocd-dex-server                                    ClusterIP   10.96.79.118    <none>        5556/TCP,5557/TCP,5558/TCP     5h49m   app.kubernetes.io/name=argocd-dex-server
argocd        argocd-metrics                                       ClusterIP   10.96.242.220   <none>        8082/TCP                       5h49m   app.kubernetes.io/name=argocd-application-controller
argocd        argocd-notifications-controller-metrics              ClusterIP   10.96.153.1     <none>        9001/TCP                       5h49m   app.kubernetes.io/name=argocd-notifications-controller
argocd        argocd-redis                                         ClusterIP   10.96.162.204   <none>        6379/TCP                       5h49m   app.kubernetes.io/name=argocd-redis
argocd        argocd-repo-server                                   ClusterIP   10.96.183.207   <none>        8081/TCP,8084/TCP              5h49m   app.kubernetes.io/name=argocd-repo-server
argocd        argocd-server                                        NodePort    10.96.231.7     <none>        80:30090/TCP,443:30443/TCP     5h49m   app.kubernetes.io/name=argocd-server
argocd        argocd-server-metrics                                ClusterIP   10.96.45.98     <none>        8083/TCP                       5h49m   app.kubernetes.io/name=argocd-server
default       kubernetes                                           ClusterIP   10.96.0.1       <none>        443/TCP                        17h     <none>
default       netflix-service                                      NodePort    10.96.178.227   <none>        80:30080/TCP                   17h     app=netflix
kube-system   kube-dns                                             ClusterIP   10.96.0.10      <none>        53/UDP,53/TCP,9153/TCP         17h     k8s-app=kube-dns
kube-system   metrics-server                                       ClusterIP   10.96.251.239   <none>        443/TCP                        5h57m   k8s-app=metrics-server
kube-system   monitoring-kube-prometheus-coredns                   ClusterIP   None            <none>        9153/TCP                       3h43m   k8s-app=kube-dns
kube-system   monitoring-kube-prometheus-kube-controller-manager   ClusterIP   None            <none>        10257/TCP                      3h43m   component=kube-controller-manager
kube-system   monitoring-kube-prometheus-kube-etcd                 ClusterIP   None            <none>        2381/TCP                       3h43m   component=etcd
kube-system   monitoring-kube-prometheus-kube-proxy                ClusterIP   None            <none>        10249/TCP                      3h43m   k8s-app=kube-proxy
kube-system   monitoring-kube-prometheus-kube-scheduler            ClusterIP   None            <none>        10259/TCP                      3h43m   component=kube-scheduler
kube-system   monitoring-kube-prometheus-kubelet                   ClusterIP   None            <none>        10250/TCP,4194/TCP,10255/TCP   3h43m   <none>
monitoring    alertmanager-operated                                ClusterIP   None            <none>        9093/TCP,9094/TCP,9094/UDP     3h43m   app.kubernetes.io/name=alertmanager
monitoring    monitoring-grafana                                   ClusterIP   10.96.182.135   <none>        80/TCP                         3h43m   app.kubernetes.io/instance=monitoring,app.kubernetes.io/name=grafana
monitoring    monitoring-kube-prometheus-alertmanager              ClusterIP   10.96.226.17    <none>        9093/TCP,8080/TCP              3h43m   alertmanager=monitoring-kube-prometheus-alertmanager,app.kubernetes.io/name=alertmanager
monitoring    monitoring-kube-prometheus-operator                  ClusterIP   10.96.252.15    <none>        443/TCP                        3h43m   app=kube-prometheus-stack-operator,release=monitoring
monitoring    monitoring-kube-prometheus-prometheus                ClusterIP   10.96.145.166   <none>        9090/TCP,8080/TCP              3h43m   app.kubernetes.io/name=prometheus,operator.prometheus.io/name=monitoring-kube-prometheus-prometheus
monitoring    monitoring-kube-state-metrics                        ClusterIP   10.96.225.15    <none>        8080/TCP                       3h43m   app.kubernetes.io/instance=monitoring,app.kubernetes.io/name=kube-state-metrics
monitoring    monitoring-prometheus-node-exporter                  ClusterIP   10.96.91.52     <none>        9100/TCP                       3h43m   app.kubernetes.io/instance=monitoring,app.kubernetes.io/name=prometheus-node-exporter
monitoring    prometheus-operated                                  ClusterIP   None            <none>        9090/TCP                       3h43m   app.kubernetes.io/name=prometheus
